FieldID Category Path,Level 2,FieldID,Array,Instances,Field Name,valueType,Sorting,FieldID Type,FieldID Type Units,Coding,Description Text,Description Participants No,Link,Description Stability,Description Category ID,Description ItemType,Description Strata,Description Sexed,order_phenotype,instance0_name,instance1_name,instance2_name,instance3_name,instance4_name,instance5_name,instance6_name,instance7_name,instance8_name,instance9_name,instance10_name,instance11_name,instance12_name,instance13_name,instance14_name,instance15_name,instance16_name,instance17_name,bucket_300,bucket_500,bucket_1000,bucket_2500,bucket_5000,bucket_10000,Original_name
Basic characteristics,,2,1,1,Gel case reference,text_search,,Categorical single,,,Identifier for a GEL Case - a family in the Rare Disease programme and a participant in the Cancer programme,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,gel_case_reference
Basic characteristics,,4,1,1,Programme,bars,,Categorical multiple,,,The programme under which the participant was recruited,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,programme
Basic characteristics,,5,1,1,Handling gmc ods code,bars,,Categorical multiple,,,"Identifier for a GMC, or the Local Delivery Partner of a GMC",89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,handling_gmc_ods_code
Basic characteristics,,6,1,1,Handling gmc,bars,,Categorical multiple,,,"Identifier for a GMC, or the Local Delivery Partner of a GMC",89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,handling_gmc
Basic characteristics,,7,1,1,Handling gmc trust,bars,,Categorical multiple,,,"Identifier for a GMC, or the Local Delivery Partner of a GMC",89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,handling_gmc_trust
Basic characteristics,,8,1,1,Year of birth,histogram,ASC,Integer,,,Year of birth,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,year_of_birth
Basic characteristics,,9,1,1,Participant ethnic category,bars,,Categorical multiple,,,"The ethnicity of a PERSON, as specified by the PERSON. The 16+1 ethnic data categories defined in the 2001 census is the national mandatory standard for the collection and analysis of ethnicity.",89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,participant_ethnic_category
Basic characteristics,,10,1,1,Participant phenotypic sex,bars,,Categorical multiple,,,The participant's phenotypic sex classification at birth,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,participant_phenotypic_sex
Basic characteristics,,11,1,1,Participant karyotypic sex,bars,,Categorical multiple,,,The participant’s karyotypic sex,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,participant_karyotypic_sex
Basic characteristics,,12,1,1,Participant stated gender,bars,,Categorical multiple,,,The participant's current gender,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,participant_stated_gender
Basic characteristics,,13,1,1,Registration date,histogram,ASC_date,Date,,,Date of the clinical event or observation being reported e.g. date biopsy was taken,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,registration_date
Basic characteristics,,14,1,1,Registered at gmc ods code,bars,,Categorical multiple,,,Identifier for a GMC,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,registered_at_gmc_ods_code
Basic characteristics,,15,1,1,Registered at gmc,bars,,Categorical multiple,,,Identifier for a GMC,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,registered_at_gmc
Basic characteristics,,16,1,1,Registered at gmc trust,bars,,Categorical multiple,,,Identifier for a GMC,89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,registered_at_gmc_trust
Basic characteristics,,17,1,1,Registered at ldp ods code,bars,,Categorical multiple,,,"Identifier for a GMC, or the Local Delivery Partner of a GMC",89132,https://cnfl.extge.co.uk/pages/viewpage.action?pageId=147659370,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,registered_at_ldp_ods_code
